Symbol,Entry Time,Exit Time,Exit Reason,Underlying Entry Price,Underlying Exit Price,Call Strike,Put Strike,Call Entry Premium,Put Entry Premium,Total Premium Collected,Call Exit Premium,Put Exit Premium,Entry Slippage,Exit Slippage,Total Slippage Paid,Fees Paid,Call SL Hit,Put SL Hit,Trade Duration (hours),Net PnL
BTCUSDT,2025-08-23 08:00:00,2025-08-30 08:00:00,Expiry,115714.0,108518.5,127300.0,104100.0,627.9046924507511,439.4015050155522,1067.3061974663033,0.0,599.291239668717,85.38449579730427,47.943299173497365,133.32779497080162,135.74775,False,True,168.0,198.93941282678463
BTCUSDT,2025-08-30 09:00:00,2025-09-06 09:00:00,Expiry,108476.5,110653.0,119300.0,97600.0,593.0735967271594,413.12921542965523,1006.2028121568146,0.0,0.0,80.49622497254518,0.0,80.49622497254518,131.47769999999997,False,False,168.0,794.2288871842695
BTCUSDT,2025-09-06 10:00:00,2025-09-13 10:00:00,Expiry,110734.5,115883.0,121800.0,99700.0,603.4542692888062,429.26098162985363,1032.7152509186599,0.0,0.0,82.61722007349279,0.0,82.61722007349279,135.9705,False,False,168.0,814.127530845167
BTCUSDT,2025-09-13 11:00:00,2025-09-20 11:00:00,Expiry,115912.5,115834.5,127500.0,104300.0,631.1353206623717,442.49722705940076,1073.6325477217724,0.0,0.0,85.8906038177418,0.0,85.8906038177418,139.0482,False,False,168.0,848.6937439040306
BTCUSDT,2025-09-20 12:00:00,2025-09-27 12:00:00,Expiry,115820.0,109355.5,127400.0,104200.0,630.4266511928563,440.3103139087525,1070.7369651016088,0.0,574.6389072719685,85.6589572081287,45.97111258175748,131.6300697898862,136.0281,False,True,168.0,228.43988803975424
BTCUSDT,2025-09-27 13:00:00,2025-10-04 13:00:00,Expiry,109265.0,122336.0,120200.0,98300.0,593.529072084033,415.1009754497627,1008.6300475337957,806.6343964205771,0.0,80.69040380270366,64.53075171364617,145.22115551634982,135.89579999999998,True,False,168.0,-79.1213044031312
BTCUSDT,2025-10-04 14:00:00,2025-10-11 14:00:00,Expiry,121943.5,111934.5,134100.0,109700.0,667.9631880740635,462.59266466518056,1130.555852739244,898.6567221492369,0.0,90.44446821913954,71.89253777193895,162.33700599107848,143.9502,True,False,168.0,-74.38807540107126
BTCUSDT,2025-10-11 15:00:00,2025-10-12 19:00:00,Call SL Hit,111744.5,114288.5,122900.0,100600.0,610.2429381488782,432.13974390250223,1042.3826820513805,810.8666547304383,575.8194799024586,83.39061456411045,110.93489077063175,194.32550533474222,134.3919,True,True,28.0,-673.0208579162587
BTCUSDT,2025-10-12 20:00:00,2025-10-19 20:00:00,Expiry,114864.0,108784.5,126400.0,103400.0,619.1953405679433,443.27605835662325,1062.4713989245665,0.0,582.2187881827103,84.99771191396533,46.57750305461683,131.57521496858215,135.13424999999998,False,True,168.0,213.54314577327403
BTCUSDT,2025-10-19 21:00:00,2025-10-26 21:00:00,Expiry,108667.0,113458.0,119500.0,97800.0,595.2358016125254,416.99147213592914,1012.2272737484545,812.3412838770892,0.0,80.97818189987638,64.98730271016713,145.96548461004352,132.34844999999999,True,False,168.0,-78.42794473867815
BTCUSDT,2025-10-26 22:00:00,2025-11-02 22:00:00,Expiry,114631.5,109861.0,126100.0,103200.0,623.0979572572687,443.4069163918757,1066.5048736491444,0.0,736.8704749046265,85.32038989193155,58.94963799237012,144.27002788430167,134.29485,False,True,168.0,51.06952086021629
BTCUSDT,2025-11-02 23:00:00,2025-11-09 23:00:00,Expiry,110495.0,104671.0,121500.0,99400.0,606.4570736680289,419.05767237784676,1025.5147460458757,0.0,570.2590673908398,82.04117968367005,45.620725391267186,127.66190507493724,130.38645,False,True,168.0,197.20732358009855
BTCUSDT,2025-11-10 00:00:00,2025-11-17 00:00:00,Expiry,106261.0,95260.0,116900.0,95600.0,576.6687718978301,403.96611705628857,980.6348889541187,0.0,538.0277510166543,78.4507911163295,43.042220081332346,121.49301119766184,123.25664999999998,False,True,168.0,197.85747673980248
BTCUSDT,2025-11-17 01:00:00,2025-11-24 01:00:00,Expiry,94732.5,87018.0,104200.0,85300.0,516.1269657002904,368.05396949230453,884.1809351925949,0.0,526.7944583234876,70.7344748154076,42.143556665879004,112.8780314812866,110.75954999999999,False,True,168.0,133.74889538782074
BTCUSDT,2025-11-24 02:00:00,2025-11-24 20:00:00,Call SL Hit,87478.0,89094.0,96200.0,78700.0,479.0139174283395,332.3995362042988,811.4134536326383,631.8310191687196,478.8229038790905,64.91307629061106,88.85231384382482,153.76539013443588,104.9892,True,True,18.0,-557.995059549608
BTCUSDT,2025-11-24 21:00:00,2025-12-01 21:00:00,Expiry,88713.5,86387.0,97600.0,79800.0,480.9276697273017,335.8383355909373,816.766005318239,0.0,442.23402040600376,65.34128042545912,35.3787216324803,100.72000205793941,105.34815,False,True,168.0,168.46383285429576
