entry_timestamp,exit_timestamp,signal,option_type,strike,expiry,entry_premium,exit_premium,quantity,gross_pnl,fees,net_pnl,holding_time_hours,exit_reason,data_mode,cumulative_pnl
1735790400,1735812000,SELL,call,95950,2025-01-02,430.6957,1092.0028499999999,509,-336.61,9.77,-346.37,6.0,supertrend_reversal,reconstructed,9653.63
1735812000,1735819200,BUY,put,95950,2025-01-02,303.04715,233.8635,680,47.04,13.05,34.0,2.0,expired_settlement,reconstructed,9687.63
1735819200,1735905600,BUY,put,95950,2025-01-03,877.4109000000001,235.42125,654,419.86,12.55,407.31,24.0,expired_settlement,reconstructed,10094.94
1735905600,1735992000,BUY,put,95950,2025-01-04,879.58,48.22567282451302,654,543.71,12.55,531.16,24.0,expired_settlement,reconstructed,10626.1
1735992000,1736078400,BUY,put,97000,2025-01-05,864.3366,286.13354999999996,648,374.68,12.57,362.1,24.0,expired_settlement,reconstructed,10988.2
1736078400,1736085600,BUY,put,97000,2025-01-05,283.28645,177.81465,674,71.09,13.08,58.01,2.0,expired_settlement,reconstructed,11046.21
1736085600,1736164800,BUY,put,97000,2025-01-06,892.913,28.61235,647,559.2,12.55,546.65,22.0,expired_settlement,reconstructed,11592.86
1736164800,1736172000,BUY,put,99000,2025-01-06,439.95915,247.2501,653,125.84,12.93,112.91,2.0,expired_settlement,reconstructed,11705.77
1736172000,1736251200,BUY,put,99000,2025-01-07,1002.0844,63.1944,630,591.5,12.47,579.03,22.0,expired_settlement,reconstructed,12284.8
1736251200,1736258400,SELL,call,101000,2025-01-07,452.6454,268.50585,484,89.12,9.78,79.35,2.0,expired_settlement,reconstructed,12364.15
1736258400,1736265600,SELL,call,101000,2025-01-07,265.83415,0.0,488,129.73,9.86,119.87,2.0,expired_settlement,reconstructed,12484.02
1736265600,1736337600,SELL,call,100000,2025-01-08,410.35790000000003,0.04302186368034227,489,200.64,9.78,190.86,20.0,expired_settlement,reconstructed,12674.88
1736337600,1736424000,SELL,call,96900,2025-01-09,523.0317,1.59795,502,261.76,9.73,252.03,24.0,expired_settlement,reconstructed,12926.91
1736424000,1736431200,SELL,call,94050,2025-01-09,257.4264,7.0831493600499265,524,131.18,9.86,121.32,2.0,expired_settlement,reconstructed,13048.23
1736431200,1736488800,SELL,call,94500,2025-01-10,289.2067,498.6241360938081,521,-109.11,9.85,-118.95,16.0,supertrend_reversal,reconstructed,12929.28
1736488800,1736510400,BUY,put,93100,2025-01-10,400.7462,39.12465,696,251.69,12.96,238.73,6.0,expired_settlement,reconstructed,13168.01
1736510400,1736517600,BUY,put,95000,2025-01-10,504.74359999999996,1521.41925,677,-688.29,12.86,-701.15,2.0,expired_settlement,reconstructed,12466.86
