timestamp,equity
1735812000,9653.63
1735819200,9687.63
1735905600,10094.94
1735992000,10626.1
1736078400,10988.2
1736085600,11046.21
1736164800,11592.86
1736172000,11705.77
1736251200,12284.8
1736258400,12364.15
1736265600,12484.02
1736337600,12674.88
1736424000,12926.91
1736431200,13048.23
1736488800,12929.28
1736510400,13168.01
1736517600,12466.86
1736596800,13031.16
1736604000,13026.27
1736611200,13111.27
1736683200,13404.94
1736690400,13563.46
1736755200,13601.6
1736769600,13827.64
1736776800,13795.26
1736805600,13064.13
1736856000,13245.27
1736863200,13247.95
1736870400,13347.41
1736942400,13672.29
1737028800,14228.07
1737180000,13931.03
1737288000,14209.15
1737295200,14363.78
1737324000,14123.68
1737374400,14287.4
1737381600,14277.45
1737388800,12793.23
1737547200,12920.05
1737554400,12567.14
1737561600,12673.84
1737597600,12399.84
1737669600,12001.96
1737806400,12017.45
1737813600,12071.79
1737892800,12481.88
1737900000,12545.86
1737936000,11926.74
1737993600,12064.67
1738000800,10997.07
1738065600,11158.46
1738101600,10662.72
1738238400,10942.43
1738245600,10873.1
1738324800,11227.47
1738332000,11265.09
1738353600,10534.34
1738584000,10376.73
1738598400,9223.37
1738670400,9294.26
1738677600,9325.84
1738684800,9289.92
1738756800,9528.52
1738836000,9705.94
1738929600,9790.98
1738936800,9514.08
1739016000,9676.34
1739102400,9880.13
1739109600,10007.07
1739116800,9881.95
1739167200,9929.2
1739289600,9937.5
1739361600,10273.29
1739383200,10025.45
1739448000,10102.24
1739455200,10107.0
1739505600,10025.98
1739793600,10207.16
1739829600,10229.82
1739916000,10113.37
1740225600,10298.21
1740232800,10341.02
1740240000,10391.68
1740355200,10273.92
1740484800,10509.48
1740564000,10790.94
1740643200,10905.46
1740744000,11064.66
1740751200,10764.27
1740758400,9511.48
1740996000,9289.47
1741176000,9512.6
1741262400,9718.91
1741269600,8934.44
1741608000,8464.22
1741680000,8571.36
1741946400,8640.81
1742133600,8622.06
1742148000,8376.55
1742184000,8269.05
1742299200,8454.78
1742356800,8534.84
1742558400,8693.46
1742565600,8762.91
1742572800,8873.1
1742644800,9011.01
1742731200,9228.57
1742904000,9318.4
1742911200,9302.58
1743048000,9304.24
1743112800,9112.55
1743163200,9290.52
1743249600,9723.63
1743256800,9581.44
1743328800,9670.6
1743422400,9853.75
1743429600,9816.87
1743436800,9581.36
1743681600,9831.9
1743688800,9985.63
1743696000,10116.06
1743753600,9769.01
1743854400,9890.73
1743940800,10263.07
1743948000,10368.21
1743955200,10359.92
1744027200,10734.45
1744034400,10301.53
1744200000,10503.75
1744207200,9915.11
1744221600,7943.01
1744365600,6728.76
1744545600,6749.48
1744552800,6415.5
1744718400,6567.67
1744740000,6319.73
1744826400,5867.42
1745064000,5962.3
1745071200,6089.81
1745143200,6082.29
1745236800,6465.03
1745244000,6537.24
1745251200,6709.26
1745323200,6998.78
1745330400,7216.25
1745337600,7408.21
1745409600,7686.45
1745416800,7599.43
1745467200,7713.25
1745582400,8018.64
1745589600,8007.63
1745596800,8172.34
1745668800,8299.31
1745676000,8358.53
1745683200,8502.17
1745755200,8730.94
1745798400,8845.69
1745841600,9041.01
1745848800,8499.26
1745928000,8744.45
1745935200,8677.85
1746014400,9126.38
1746021600,8037.98
1746100800,8236.86
1746108000,8161.74
1746187200,8669.67
1746266400,8867.98
1746619200,9289.49
1746626400,9335.03
1746633600,9392.54
1746705600,9858.13
1746712800,9883.41
1746720000,10075.62
1746792000,10392.4
1746799200,10606.23
1746878400,10891.73
1746885600,10983.54
1746964800,11501.1
1746972000,11383.61
1747051200,11717.46
1747065600,11401.69
1747137600,11499.32
1747144800,11541.47
1747224000,11848.22
1747274400,11809.51
1747396800,12022.41
1747404000,12116.26
1747411200,12253.76
1747447200,12045.82
1747569600,12104.66
1747598400,12215.85
1747627200,11388.32
1747742400,11678.31
1747749600,11464.63
1747828800,11685.8
1747836000,11847.06
1747843200,12081.79
1747850400,10837.76
1747915200,11395.67
1748001600,11426.28
1748095200,11303.22
1748167200,11338.07
1748260800,11494.17
1748268000,11510.05
1748311200,11344.7
1748368800,11490.68
1748397600,11214.32
1748520000,11301.08
1748534400,10834.28
1748606400,10941.55
1748613600,11047.36
1748692800,11486.92
1748700000,11400.97
1748721600,11339.01
1748865600,11446.63
1748908800,11156.9
1749124800,11484.83
1749132000,11578.96
1749189600,11964.09
1749463200,11834.81
1749556800,11991.5
1749564000,11996.4
1749571200,12006.24
1749578400,12022.36
1749643200,12051.3
1749650400,12190.83
1749664800,12050.85
1749765600,11438.97
1749902400,11707.22
1749909600,11739.55
1749988800,12104.6
1750075200,12624.22
1750082400,12705.25
1750089600,12855.76
1750118400,12826.64
1750226400,12721.86
1750334400,12791.02
1750341600,12907.6
1750406400,12772.53
1750507200,12985.18
1750514400,13086.17
1750521600,13144.52
1750572000,13429.31
1750608000,13594.35
1750636800,13319.14
1750852800,13553.26
1750860000,13769.87
1750867200,13494.5
1750939200,13883.61
1750946400,13828.52
1751025600,14215.12
1751112000,14673.01
1751119200,14657.27
1751198400,15135.26
1751205600,15091.28
1751212800,15080.86
1751220000,15045.72
1751270400,14982.77
1751457600,15121.45
1751464800,15234.52
1751544000,15721.83
1751551200,15854.63
1751558400,15498.38
1751616000,15643.43
1751889600,16004.71
1751896800,16031.47
1752062400,16476.68
1752069600,16566.07
1752076800,16618.56
1752084000,16756.23
1752148800,17354.64
1752235200,17893.91
1752242400,17989.83
1752249600,17735.01
1752321600,18204.75
1752328800,18180.52
1752336000,18150.39
1752408000,18605.59
1752415200,18742.94
1752494400,19271.27
1752501600,19368.85
1752508800,18796.69
1752667200,18731.93
1752753600,18992.86
1752760800,19105.41
1752840000,19615.12
1752847200,19570.39
1752854400,19370.6
1753099200,19460.29
1753106400,19624.23
1753113600,19540.59
1753120800,19436.81
1753185600,19580.47
1753192800,19335.27
1753200000,19469.66
1753207200,19614.82
1753264800,19666.22
1753531200,19868.53
1753538400,19998.42
1753545600,20074.21
1753617600,20370.66
1753624800,20448.53
1753632000,20558.79
1753704000,20942.64
1753711200,20878.12
1753790400,20913.39
1753797600,20961.38
1753804800,20668.91
1753963200,20821.32
1753970400,20896.09
1753992000,20492.19
1754049600,20650.78
1754056800,20744.53
1754136000,21001.11
1754143200,21101.31
1754150400,21209.24
1754222400,21312.08
1754395200,21347.94
1754402400,21461.91
1754481600,21777.5
1754488800,21810.67
1754496000,21584.95
1754654400,21794.29
1754661600,21847.57
1754668800,21686.09
1754740800,21661.36
1754748000,21685.14
1754769600,21659.07
1754827200,21757.11
1754834400,21824.75
1754913600,22371.54
1755086400,22643.33
1755093600,22828.27
1755100800,22692.2
1755151200,23083.86
1755432000,23119.72
1755439200,23192.16
1755475200,23072.33
1755576000,23014.07
1755604800,23043.87
1755612000,23115.72
1755691200,23493.99
1755698400,23660.84
1755705600,23541.23
1755720000,23379.05
1755864000,23679.26
1755878400,22650.36
1755957600,22722.46
1755964800,22791.35
1756036800,23043.29
1756044000,23112.44
1756051200,23187.45
1756123200,23618.86
1756209600,24006.14
1756216800,24003.04
1756238400,23863.99
1756468800,24005.69
1756555200,24388.25
1756562400,24456.1
1756569600,24458.44
1756576800,24572.37
1756605600,24508.14
1756713600,24359.04
1756785600,24005.65
1756987200,24067.48
1756994400,24160.84
1757037600,24160.83
1757160000,24313.52
1757167200,24327.35
1757174400,24457.49
1757239200,24574.4
1757404800,24301.71
1757491200,24273.88
1757592000,24477.39
1757599200,24660.88
1757678400,24982.94
1757764800,25481.88
1757772000,25496.32
1757851200,25895.74
1757858400,25853.68
1757865600,25908.34
1757930400,25629.02
1758024000,25620.02
1758031200,25659.15
1758038400,25851.09
1758110400,26253.33
1758117600,26272.0
1758196800,26469.98
1758204000,26558.59
1758211200,26676.09
1758276000,26748.89
1758614400,26673.67
1758715200,26759.44
1758801600,26852.7
1758808800,26917.99
1758816000,26831.72
1758888000,27251.3
1758895200,27210.62
1758902400,27326.78
1758974400,27552.04
1758981600,27588.47
1759060800,27875.32
1759068000,27873.97
1759075200,27857.39
1759226400,27486.99
1759320000,27807.44
1759327200,27863.86
1759334400,27980.41
1759341600,27824.1
1759406400,28354.24
1759492800,28861.13
1759500000,28920.15
1759507200,29109.44
1759579200,29352.78
1759586400,29456.14
1759658400,29858.58
1759759200,30029.11
1759824000,30032.83
1759932000,30020.78
1759939200,29983.91
1759996800,30189.4
1760184000,30273.77
1760443200,30431.12
1760450400,30486.9
1760457600,29893.35
1760616000,30033.16
1760623200,30114.82
1760630400,30260.42
1760702400,30421.98
1760709600,30433.86
1760716800,30216.97
1760738400,30167.38
1761048000,30333.49
1761055200,30396.78
1761062400,28473.2
1761134400,28597.87
1761141600,28300.43
1761148800,28416.62
1761213600,28430.93
1761566400,28618.0
1761573600,28652.98
1761580800,28656.46
1761602400,28583.3
1761667200,28409.36
1761681600,28211.85
1761825600,27913.61
1761832800,27235.29
1762171200,27418.28
1762178400,27433.52
1762257600,27809.13
1762264800,27926.81
1762272000,28087.83
1762315200,28197.87
1762452000,28326.96
1762516800,28614.03
1762524000,28661.21
1762538400,28277.28
1762610400,28328.71
