entry_timestamp,exit_timestamp,signal,option_type,strike,expiry,entry_premium,exit_premium,quantity,gross_pnl,fees,net_pnl,holding_time_hours,exit_reason,data_mode,cumulative_pnl
1704996000,1705060800,SELL,call,45900,2024-01-12,428.2281,168.4179,5,1.3,0.05,1.25,18.0,expired_settlement,reconstructed,1001.25
1705060800,1705147200,SELL,call,45900,2024-01-13,489.98775,168.4179,5,1.61,0.05,1.56,24.0,expired_settlement,reconstructed,1002.81
1705147200,1705233600,SELL,call,45900,2024-01-14,489.98775,168.4179,5,1.61,0.05,1.56,24.0,expired_settlement,reconstructed,1004.37
1705233600,1705320000,SELL,call,45900,2024-01-15,489.98775,168.4179,5,1.61,0.05,1.56,24.0,expired_settlement,reconstructed,1005.93
1705320000,1705406400,SELL,call,45900,2024-01-16,489.98775,0.0,5,2.45,0.05,2.4,24.0,expired_settlement,reconstructed,1008.33
1705406400,1705492800,SELL,call,43200,2024-01-17,427.3127,70.7118,5,1.78,0.04,1.74,24.0,expired_settlement,reconstructed,1010.07
1705492800,1705579200,SELL,call,42750,2024-01-18,527.8475,222.57735,5,1.53,0.04,1.48,24.0,expired_settlement,reconstructed,1011.55
1705579200,1705665600,SELL,call,42750,2024-01-19,527.8475,0.6358894207038991,5,2.64,0.04,2.59,24.0,expired_settlement,reconstructed,1014.14
1705665600,1705752000,SELL,call,41200,2024-01-20,518.94225,224.62754999999999,5,1.47,0.04,1.43,24.0,expired_settlement,reconstructed,1015.57
1705752000,1705838400,SELL,call,41200,2024-01-21,518.94225,224.62754999999999,5,1.47,0.04,1.43,24.0,expired_settlement,reconstructed,1017.0
1705838400,1705924800,SELL,call,41200,2024-01-22,518.94225,224.62754999999999,5,1.47,0.04,1.43,24.0,expired_settlement,reconstructed,1018.43
1705924800,1706011200,SELL,call,41200,2024-01-23,518.94225,0.0,5,2.59,0.04,2.55,24.0,expired_settlement,reconstructed,1020.98
1706011200,1706076000,SELL,call,39200,2024-01-24,393.01505000000003,710.8566000000001,6,-1.91,0.05,-1.95,18.0,stop_loss,reconstructed,1019.03
1706076000,1706184000,BUY,put,39600,2024-01-25,454.46625,56.10915,7,2.79,0.06,2.73,30.0,expired_settlement,reconstructed,1021.76
1706184000,1706270400,BUY,put,40000,2024-01-26,463.5705,178.75935,7,1.99,0.06,1.94,24.0,expired_settlement,reconstructed,1023.7
1706270400,1706356800,BUY,put,40000,2024-01-27,463.5705,0.01005,7,3.24,0.06,3.19,24.0,expired_settlement,reconstructed,1026.89
1706356800,1706443200,BUY,put,42000,2024-01-28,464.6451,167.44305000000003,7,2.08,0.06,2.02,24.0,expired_settlement,reconstructed,1028.91
1706443200,1706515200,BUY,put,42000,2024-01-29,464.6451,280.70655,7,1.29,0.06,1.23,20.0,supertrend_reversal,reconstructed,1030.14
1706515200,1706536800,SELL,call,42400,2024-01-30,412.77575,506.73105,5,-0.47,0.04,-0.51,6.0,stop_loss,reconstructed,1029.63
1706536800,1706616000,BUY,put,42000,2024-01-30,354.21005,93.8871,7,1.82,0.06,1.76,22.0,expired_settlement,reconstructed,1031.39
1706616000,1706688000,BUY,put,42000,2024-01-31,371.9509,31.617642069638286,7,2.38,0.06,2.32,20.0,supertrend_reversal,reconstructed,1033.71
1706688000,1706788800,SELL,call,43200,2024-02-01,505.9973,11.768550000000001,5,2.47,0.04,2.43,28.0,expired_settlement,reconstructed,1036.14
1706788800,1706803200,SELL,call,42400,2024-02-02,451.22255,566.6473234129949,5,-0.58,0.04,-0.62,4.0,supertrend_reversal,reconstructed,1035.52
1706803200,1706868000,BUY,put,42300,2024-02-02,398.54725,57.2649,7,2.39,0.06,2.33,18.0,supertrend_reversal,reconstructed,1037.85
1706868000,1706889600,SELL,call,43200,2024-02-03,464.7247,534.8007,5,-0.35,0.04,-0.39,6.0,supertrend_reversal,reconstructed,1037.46
1706889600,1706896800,BUY,put,42750,2024-02-03,299.3756,390.29175000000004,7,-0.64,0.06,-0.7,2.0,stop_loss,reconstructed,1036.76
1707026400,1707120000,SELL,call,43200,2024-02-05,456.3866,254.4459,5,1.01,0.04,0.97,26.0,supertrend_reversal,reconstructed,1037.73
1707120000,1707148800,BUY,put,42750,2024-02-06,431.9494,563.5437000000001,7,-0.92,0.06,-0.98,8.0,stop_loss,reconstructed,1036.75
1707213600,1707220800,BUY,put,42750,2024-02-07,443.97895,502.63065,7,-0.41,0.06,-0.47,2.0,stop_loss,reconstructed,1036.28
1707732000,1707753600,SELL,call,48500,2024-02-13,371.04545,1601.19615,4,-4.92,0.04,-4.96,6.0,stop_loss,reconstructed,1031.32
1708459200,1708495200,SELL,call,52000,2024-02-21,334.2404,401.4372,4,-0.27,0.04,-0.31,10.0,supertrend_reversal,reconstructed,1031.01
1708495200,1708509600,BUY,put,51500,2024-02-22,508.445,901.1433,6,-2.36,0.06,-2.42,4.0,stop_loss,reconstructed,1028.59
1708509600,1708516800,SELL,call,51500,2024-02-22,489.2017,424.7532,4,0.26,0.04,0.22,2.0,stop_loss,reconstructed,1028.81
1708552800,1708603200,BUY,put,51000,2024-02-22,353.59315,80.41005,6,1.64,0.06,1.58,14.0,expired_settlement,reconstructed,1030.39
1708603200,1708610400,BUY,put,51500,2024-02-23,609.44745,809.75865,5,-1.0,0.05,-1.05,2.0,stop_loss,reconstructed,1029.34
1708610400,1708617600,SELL,call,52000,2024-02-23,304.29089999999997,438.8634,4,-0.54,0.04,-0.58,2.0,stop_loss,reconstructed,1028.76
1708797600,1708862400,BUY,put,51000,2024-02-25,348.6878,65.9682,6,1.7,0.06,1.64,18.0,expired_settlement,reconstructed,1030.4
1708862400,1708934400,BUY,put,51500,2024-02-26,573.7767,472.75199999999995,6,0.61,0.06,0.54,20.0,supertrend_reversal,reconstructed,1030.94
1708934400,1708963200,SELL,call,52000,2024-02-27,409.47234999999995,1133.4535975243327,4,-2.9,0.04,-2.94,8.0,supertrend_reversal,reconstructed,1028.0
1708970400,1709035200,BUY,put,52800,2024-02-27,311.92255,0.0,6,1.87,0.06,1.81,18.0,expired_settlement,reconstructed,1029.81
1709035200,1709121600,BUY,put,55550,2024-02-28,319.4547,0.0011515854467037422,5,1.6,0.06,1.54,24.0,expired_settlement,reconstructed,1031.35
1709121600,1709208000,BUY,put,58200,2024-02-29,418.02935,6.039327995553679e-07,5,2.09,0.06,2.03,24.0,expired_settlement,reconstructed,1033.38
1709222400,1709229600,BUY,put,61750,2024-03-01,331.0763,1154.6858673094807,5,-4.12,0.06,-4.18,2.0,supertrend_reversal,reconstructed,1029.2
